id,source_name,title,author_name,publish_date,accident_date,content,tags,day_of_the_week,time,time_in_hours,rush_hour,weekend_weekday,locality,road_name,road_type,vehicle_count,vehicle_involved,male_count,female_count,total_driver_count,min_age,max_age,young_driver_involved,adult_driver_involved,senior_driver_involved,child_involved,senior_involved,visibility,wind_speed,temperature,severity,ambulance_called,additional_source_name,additional_url
81,Times of Malta,Motorcyclist injured in Sliema accident,Times of Malta,23/01/2025,23/01/2025,"A motorcyclist sustained serious injuries after a traffic accident in Sliema on Wednesday night.  The police said the incident between a Dacia Duster, driven by a 47-year-old Filipino national, and a Kymco Agility motorbike, driven by a 51-year-old Sliema resident took place in Rudolph Street at around 6pm.  The motorcyclist was given first aid on the spot before he was rushed to hospital in an ambulance. His injuries are considered grievous.  Police are investigating.","{Accident,National,Sliema}",Thursday,evening,1800,1,weekday,Sliema,Rudolph Street,residential,2.0,car-motorcycle,2.0,0.0,2.0,47.0,51.0,0.0,1.0,0.0,0.0,0.0,10.0,20.4,16.0,high,1.0,,
82,Times of Malta,Motorcyclist dies in crash inside Tal-Qroqq tunnels,Times of Malta,24/01/2025,24/01/2025,"A 36-year-old man has died after crashing his motorcycle in the Tal-Qroqq tunnels yesterday evening, police have said.  The incident happened at around 8.15pm on Thursday evening in Triq Mikiel Anton Vassalli, with the victim being identified as a 36-year-old Italian man living in Birkirkara.  A police investigation revealed that the man was driving his Honda motorcycle through the tunnel when for some reason he lost control of the bike, crashed into the wall and fell off the vehicle.  The man was given first aid on-site by a medical team before being taken to Mater Dei Hospital by ambulance. He unfortunately died shortly after.  Magistrate Philip Galea Farrugia has opened an inquiry into the case and a police investigation into the matter is still ongoing.","{Accident,Msida,National,Police,Traffic}",Friday,evening,2015,0,weekday,Msida,Triq Mikiel Anton Vassalli,bypass,1.0,motorcycle,1.0,0.0,1.0,36.0,36.0,0.0,1.0,0.0,0.0,0.0,10.0,20.4,15.0,fatal,1.0,,
85,Times of Malta,Motorcyclist injured in Coast Road crash,Times of Malta,25/01/2025,25/01/2025,"Updated 5pm A collision between a car and a motorcycle close to Salini on Saturday afternoon forced the partial closure of the Coast Road.  A 46-year-old man from Fgura was driving his Suzuki motorcycle towards St Paul's Bay when he collided with a BMW heading towards St Julian's.  Police said the man was injured and taken to Mater Dei Hospital but is not in danger of dying. The BMW driver was not injured. Earlier on Saturday traffic towards St Julian's had been at a standstill, but resumed normal function once the road reopened at 5pm.","{Accident,National,Police,""St Paul’S Bay"",Traffic}",Saturday,afternoon,1700,1,weekend,Naxxar,Salini,bypass,2.0,car-motorcycle,1.0,0.0,2.0,33.0,52.0,0.0,1.0,0.0,0.0,0.0,10.0,11.1,15.0,med,1.0,,
87,Times of Malta,Two men grievously injured in separate traffic accidents,Times of Malta,01/02/2025,01/02/2025,"Two men were hospitalised on Saturday after suffering grievous injuries in separate traffic accidents. The first accident happened at Ħal Farrug Street, Luqa at 5am and involved a 34-year-old man from Qrendi. The police said the man lost control of the Ford Fiesta he was driving and crashed into an electricity pole. He was taken to hospital for treatment where he was certified to be suffering grievous injuries. In a separate accident later on Saturday, a 59-year-old man from Fgura driving a Yamaha YB125 motorbike was involved in a collision with a Mazda Demio driven by a 30-year-old man from Birkirkara. The accident happened in Rue D’Argens, Gżira at 12.45pm. The motorcyclist was hospitalised with grievous injuries. Investigations in both accidents are currently underway.","{Accident,National,Police}",Saturday,morning,500,0,weekend,Luqa,Hal Farrug Street,bypass,1.0,car,1.0,0.0,1.0,34.0,34.0,0.0,1.0,0.0,0.0,0.0,10.0,25.9,14.0,high,1.0,,
87,Times of Malta,Two men grievously injured in separate traffic accidents,Times of Malta,01/02/2025,01/02/2025,"Two men were hospitalised on Saturday after suffering grievous injuries in separate traffic accidents. The first accident happened at Ħal Farrug Street, Luqa at 5am and involved a 34-year-old man from Qrendi. The police said the man lost control of the Ford Fiesta he was driving and crashed into an electricity pole. He was taken to hospital for treatment where he was certified to be suffering grievous injuries. In a separate accident later on Saturday, a 59-year-old man from Fgura driving a Yamaha YB125 motorbike was involved in a collision with a Mazda Demio driven by a 30-year-old man from Birkirkara. The accident happened in Rue D’Argens, Gżira at 12.45pm. The motorcyclist was hospitalised with grievous injuries. Investigations in both accidents are currently underway.","{Accident,National,Police}",Saturday,afternoon,1245,0,weekend,Gzira,Rue D'Argens,main road,2.0,car-motorcycle,2.0,0.0,2.0,30.0,59.0,0.0,1.0,0.0,0.0,0.0,10.0,37.0,17.0,high,1.0,,
90,Times of Malta,Two injured in Żejtun crash,Times of Malta,04/02/2025,04/02/2025,"A motorcyclist and a pillion rider were seriously injured in a collision in Żejtun on Tuesday morning. The police said the crash occurred in Triq Alfredo Cachia Zammit at 11.30am. It involved a Skoda Fabia driven by a 58-year-old woman from Żabbar and a Yamaha T115 driven by a 66-year-old man from Cospicua accompanied by a 56-year-old woman from Cospicua, who was riding pillion. Both were given first aid by a medical team before being hospitalised. . The police are investigating.","{National,Traffic,Żejtun}",Tuesday,morning,1130,0,weekday,Zejtun,Triq Alfredo Cachia Zammit,residential,2.0,car-motorcycle,1.0,1.0,2.0,58.0,66.0,0.0,1.0,1.0,0.0,1.0,10.0,9.26,15.0,med,1.0,,
91,Times of Malta,Motorcyclist grievously injured in Ta' Qali,Times of Malta,05/02/2025,05/02/2025,"A man was grievously injured when he fell off his motorbike on Vjal l-Istadium Nazzjonali in Ta' Qali, Attard. The police said in a statement the man - a 52-year-old from Żebbuġ - was driving a Kymco. The accident was reported at 9am on Wednesday. Police investigations are ongoing.","{Accident,Attard,National,Police,""Ta' Qali""}",Wednesday,morning,900,0,weekday,Attard,Vjal l-Istadium Nazzjonali,bypass,1.0,motorcycle,1.0,0.0,1.0,52.0,52.0,0.0,1.0,0.0,0.0,0.0,10.0,7.41,16.0,high,1.0,,
93,Times of Malta,Motorcyclist injured in traffic accident on Naxxar's Labour Avenue,Times of Malta,06/02/2025,06/02/2025,"A motorcyclist was rushed to Mater Dei Hospital on Thursday morning following a traffic accident on Labour Avenue in Naxxar. The police told Times of Malta the 35-year-old man, from Mosta, was driving a Yamaha XP560 on Labour Avenue at around 8am.  He was involved in a crash with a Toyota Vitz driven by a 26-year-old woman from Żabbar. The motorcyclist was rushed to Mater Dei. While his condition remains unknown, he did not suffer life-threatening injuries. Police investigations are ongoing.","{Accident,National,Naxxar}",Thursday,morning,800,1,weekday,Naxxar,Labour Avenue,main road,2.0,car-motorcycle,1.0,1.0,2.0,26.0,35.0,0.0,1.0,0.0,0.0,0.0,10.0,14.8,13.0,med,1.0,,
95,Times of Malta,"Van crashes down six-metre-deep valley, two injured",Times of Malta,09/02/2025,09/02/2025,"Two men were seriously hurt as a van crashed down a six-metre-deep valley in Gozo on Saturday evening. The police said the accident happened at 9pm when a Isuzu WFR went out of control as it was being driven at Triq-ir-Rabat, the road which leads from Victoria (Rabat) to Marsalforn. It ended up in the valley below the road.  The vehicle was being driven by a 25-year-old man from North Macedonia, accompanied by a 36-year-old compatriot, but residents of Żebbuġ. They were rescued by Civil Protection personnel and taken to hospital in a serious condition. The police are investigating.","{Gozo,National,Traffic}",Saturday,evening,2100,0,weekend,Victoria,Triq-ir-Rabat,bypass,1.0,car,2.0,0.0,1.0,25.0,36.0,0.0,1.0,0.0,0.0,0.0,10.0,5.56,11.0,high,1.0,,
96,Times of Malta,Motorist dies in Kirkop tunnels crash,Times of Malta,10/02/2025,10/02/2025,"A motorist, 24, was killed and a passenger was injured in a crash at the mouth of the Kirkop tunnels late on Monday evening. Members of the Civil Protection Department were called to rescue the two men from the wreckage of their BMW car. The driver, later identified as Chris Gatt from Mtarfa, died at the scene while the passenger, a 25-year-old also from Mtarfa was hospitalised.  Sources said no other cars were involved in the 9pm crash. The police said the car went out of control and crashed into a pillar on the opposite side of the road.  Magistrate Joe Mifsud is holding an inquiry. The police are investigating.","{National,Traffic}",Monday,evening,2100,0,weekday,Kirkop,Triq l-Ewwel Titjira,bypass,1.0,car,2.0,0.0,1.0,24.0,25.0,0.0,1.0,0.0,0.0,0.0,10.0,24.1,13.0,fatal,1.0,,
100,Times of Malta,Motorcyclist hurt in Iklin midnight collision,Times of Malta,15/02/2025,15/02/2025,A motorcyclist was grievously injured in a midnight collision with a car in Iklin on Friday night. The 39-year-old Lija man was riding a Keeway motorbike when he was involved in a crash with a 42-year-old St Paul’s Bay woman driving Toyota Passo. The crash occurred on Triq il-Wied and was reported at midnight. A medical team was called to the scene and took the man to Mater Dei Hospital by ambulance. Doctors there certified his injuries as being of a grievous nature. The police said they are investigating the case.,"{Accident,Iklin,National,Traffic}",Friday,night,2359,0,weekday,Iklin,Triq il-Wied,main road,2.0,car-motorcycle,2.0,0.0,2.0,39.0,42.0,0.0,1.0,0.0,0.0,0.0,10.0,29.6,11.0,high,1.0,,
103,Times of Malta,Three-year-old girl among four injured after car and truck collide,Emma Borg,17/02/2025,17/02/2025,"A three-year-old girl was among four people taken to hospital after a crash between a trailer truck and a car on Ħal Far road on Monday afternoon. The accident took place at about 1pm on the road, which is parallel to the airport runway. A man and woman aged 30 and 27 from Marsascala were in the Suzuki Swift car along with the young girl, and the 44-year-old trailer driver, also a Marsascala resident, are being treated at Mater Dei. Transport Malta closed the road in both directions.","{National,Traffic}",Monday,afternoon,1300,0,weekday,Gudja,Hal Far road,bypass,2.0,car-truck,2.0,2.0,2.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,10.0,16.7,16.0,high,1.0,,
106,Times of Malta,Motorcyclist grievously injured in Fgura crash,Times of Malta,20/02/2025,20/02/2025,"A motorcyclist was grievously injured on Wednesday in a traffic accident on Triq Ħompesch, Fgura. The police said in a statement the man - a 45-year-old Italian national from Marsascala - was driving a Kawazaki ZR750. The other vehicle involved in the accident - a Chevrolet Aveo - was being driven by a 32-year-old Albanian woman from Fgura.  The crash was reported at 6pm. Police investigations are ongoing.","{Accident,Fgura,National}",Wednesday,evening,1800,1,weekday,Fgura,Triq Hompesch,main road,2.0,car-motorcycle,2.0,0.0,2.0,32.0,45.0,0.0,1.0,0.0,0.0,0.0,10.0,16.7,13.0,high,1.0,,
109,police,Traffic accident in Gudja,,04/10/2025,04/10/2025,"Late yesterday evening, at around 11:00 p.m. (2300hrs), the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Police immediately went to the scene, and from preliminary investigations it resulted that a collision had occurred between a Suzuki Baleno driven by a 49-year-old man from Swieqi and a Hyundai Getz driven by a 19-year-old from San ƒ†wann. Followwing the intial impact, the Hyundai veered into the opposite lane and collided with a Renault Captur.The Renault was driven by a 50-year-old man. Also inside the vehicle were two women aged 69 and 43, as well as a 14-year-old girl and a 14-year-old boy, all residents of Rabat.A medical team was called to the scene, and an ambulance took the 43-year-old woman together with the two children to Mater Dei Hospital. Later, the 14-year-old boy was certified to have suffered grievous injuries, while the girl and the 43-year-old woman suffered slight injuries.Police investigations into this accident are still ongoing.",{},Saturday,night,2300,0,weekend,Gudja,Triq Dawret,bypass,3.0,car-car,3.5,2.5,3.0,14.0,69.0,1.0,1.0,0.0,1.0,1.0,10.0,31.5,25.0,High,1.0,,
110,police,Car-motorcycle collision in Marsa,,04/06/2025,04/06/2025,"Today, at around 0730hrs, the Police were informed of a traffic accident in Xatt l-Gƒßassara tal-Gƒßeneb, il-Marsa.Preliminary investigations showed that a collision occurred between a Ford Fiesta driven by a 39-year-old man residing in Xgƒßajra and a Honda motorcycle driven by a 35-year-old woman who lives in Dingli.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital, where she was certified to have sustained grievous injuries.Police investigations are ongoing.",{},Wednesday,evening,1930,0,weekday,Il-Marsa,Xatt l-Ghassara tal-Gheneb,bypass,2.0,car-motorcycle,1.0,1.0,2.0,35.0,39.0,0.0,1.0,0.0,0.0,0.0,10.0,27.8,27.0,High,1.0,,
111,police,Man suffers serious injuries in traffic accident,,17/09/2025,16/09/2025,"A 52-year-old man from ≈ªurrieq, at around 2330hrs, was taken to Mater Dei Hospital after suffering injuries in a traffic accident in a parking lot on Triq il-Mina ta‚Äô Hompesch, ƒ¶a≈º-≈ªabbar.Initial investigations revealed that the victim was hit by a Toyota Vitz, which was being driven by a 26-year-old man resident in Kalkara.The man was treated by a medical team, taken to hospital by ambulance and certified as having suffered serious injuries.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and an inquiry was opened, while investigations by the Police are still ongoing.",{},Tuesday,night,2330,0,weekday,Zabbar,Triq Il - Mina Ta' Hompesch,main road,1.0,car-pedestrian,2.0,0.0,1.0,26.0,52.0,0.0,1.0,0.0,0.0,0.0,10.0,7.41,24.0,High,1.0,Newsbook,https://newsbook.com.mt/en/man-suffers-life-threatening-injuries-in-zabbar-car-park-incident/
112,police,Car-motorcycle collision in St Paul's Bay,,18/04/2025,18/04/2025,"Today, at around 1330hrs, the Police were informed of a traffic accident in Triq Burmarrad, St Paul‚Äôs Bay.Preliminary investigations showed that a collision occurred between a Mazda Demio driven by a 31-year-old Czech Republic woman residing in Mosta and a Piaggio motorcycle driven by a 72-year-old man who lives in Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Friday,afternoon,1330,0,weekend,St Paul's Bay,Triq il- Burmarrad,bypass,2.0,car-motorcycle,1.0,1.0,2.0,31.0,72.0,0.0,2.0,1.0,0.0,1.0,10.0,29.6,21.0,High,1.0,,
113,police,Car-motorcycle collision in Mosta,,07/07/2025,06/07/2025,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq i≈º-≈ªejfa, Mosta.Preliminary investigations showed that a collision occurred between a Kia Sportage driven by a 34-year-old woman from Rabat and a Suzuki motorcycle driven by a 30-year-old Indian man who lives in Birkirkara.A medical team was called on site and an ambulance took the man to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Joseph Mifsud LL.D was informed about the case who appointed an inquiry, while Police investigations are ongoing.",{},Sunday ,evening,1800,1,weekend,Mosta,Triq Ta' Zejfa,main road,2.0,car-motorcycle,1.0,1.0,2.0,30.0,34.0,0.0,2.0,0.0,0.0,0.0,10.0,44.4,36.0,High,1.0,,
114,police,Car-motorcycle collision in Zejtun,,17/04/2025,17/04/2025,"Today, at around 0930hrs, the Police were informed of a traffic accident in Tal-Barrani Road, ≈ªejtun.The Police went immediately on site and preliminary investigations showed that a collision had occurred between a Mazda Demio driven by a 46-year-old man residing in ≈ªejtun and a Honda motorcycle driven by a 79-year-old man also living in ≈ªejtun.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Thursday,night,2130,0,weekday,Zejtun,Triq il-Barrani,main road,2.0,car-motorcycle,2.0,0.0,2.0,46.0,79.0,0.0,1.0,1.0,0.0,1.0,10.0,35.2,18.0,High,1.0,,
115,police,Traffic accident in Santa Venera,,15/05/2025,14/05/2025,"A 22-year-old man and residing in Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road, Santa Venera.Preliminary investigations showed that a collision occurred between a Toyota Vitz driven by a 19-year-old woman residing in ≈ªurrieq and a Honda motorcycle driven by the victim.She was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Wednesday,afternoon,1745,1,weekday,Santa Venera,Regional Road,bypass,2.0,car-motorcycle,0.0,2.0,2.0,19.0,22.0,2.0,0.0,0.0,0.0,0.0,5.0,20.4,18.0,High,1.0,Times of Malta,https://timesofmalta.com/article/motorcyclist-grievously-injured-santa-venera-crash.1109718
116,police,Fatal accident in Zebbug,,22/06/2025,19/06/2025,"On Thursday 19th June, at around ten in the evening (2200 hrs), the Police were informed of a traffic accident in Triq L-Imdina, ƒ¶a≈º-≈ªebbuƒ°.Initial investigations showed that a collision occurred between a Renault Captur driven by a 57-year-old man from Dingli and a Honda Civic driven by a 32-year-old man from Luqa. A 28-year-old woman, a resident of Attard, was a passenger in the Honda.They were assisted by a medical team and members of the Civil Protection Department.All persons were taken to Mater Dei Hospital by ambulance. Shortly afterwards, the 32-year-old man was certified dead.The other man and the woman sustained grievous injuries.Magistrate Dr Antoine Agius Bonnici LL. D was informed of the case and appointed an inquiry.Police investigations are ongoing.",{},Thursday,evening,2200,0,weekday,Zebbug,Triq L-Imdina,main road,2.0,car-car,2.0,1.0,2.0,28.0,57.0,0.0,2.0,0.0,0.0,0.0,10.0,16.7,28.0,Fatal,1.0,,
117,police,Motorcycle accident in St Paul's Bay,,16/09/2025,15/09/2025,"A 44-year-old Japanese woman who resides in Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, St Paul‚Äôs Bay.Preliminary investigations showed that a 44-year-old German man who lives in St Julian‚Äôs was driving a Voge 300Rally motorcycle, lost control and fell. The woman was a pillion rider on the motorcycle.They were assisted by a medical team, and the woman was taken to hospital by ambulance where she was certified to have sustained grievous injuries.Police investigations are ongoing.",{},Monday,evening,1930,0,weekday,St Paul's Bay,Triq San Pawl,bypass,1.0,motorcycle ,1.0,1.0,1.0,44.0,44.0,0.0,1.0,0.0,0.0,0.0,10.0,6.48,26.0,High,1.0,MaltaToday,https://www.maltatoday.com.mt/news/court_and_police/137047/motorcycle_passenger_seriously_injured_in_st_pauls_bay_crash
118,police,Woman grievously injured in traffic accident,,01/04/2025,01/04/2025,"An 87-year-old woman who lives in Naxxar, at around 0900hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, Naxxar.Preliminary investigations showed that the victim was hit by a Smart, which was being driven by a30-year-old man residing in Fgura.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Tuesday,morning,900,0,weekday,Naxxar,Triq San Pawl,bypass,1.0,car-pedestrian,1.0,1.0,1.0,30.0,87.0,0.0,1.0,0.0,0.0,1.0,10.0,18.5,11.0,High,1.0,TVM,https://tvmnews.mt/en/news/elderly-woman-grievously-injured-after-she-was-hit-by-a-car-in-naxxar/
119,police,Man grievously injured in traffic accident,,19/08/2025,18/08/2025,"A 75-year-old man who lives in Zabbar, at around 1600hrs of yesterday afternoon, was taken to Mater Dei Hospital because he was injured in a traffic accident in Luqa Road, Paola.Preliminary investigations showed that the man was hit by a Nissan March, which was being driven by a 29-year-old man residing in Santa Lucija.The elderly man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Monday,afternoon,1600,1,weekday,Poala,Luqa Road,residential,1.0,car-pedestrian,2.0,0.0,1.0,29.0,75.0,0.0,1.0,0.0,0.0,1.0,10.0,18.5,31.0,High,1.0,,
120,police,Gozo traffic accident,,24/09/2025,24/09/2025,"Today, at around 0800 hrs, the Police were informed of a traffic accident in Triq Marsalforn, ≈ªebbuƒ°, Gozo.From initial investigations, it showed that an 82-year-old man from ƒ¶a≈º-≈ªabbar lost control of the Toyota Corolla he was driving and crashed into a wall. An 81-year-old woman from Santa Venera was also in the vehicle.The woman was assisted by a medical team on site and taken to Gozo General Hospital by an ambulance, where she was certified to have sustained grievous injuries.The Police are carrying out investigations.",{},Wednesday,morning,800,1,weekday,Zebbug,Triq Masalforn,main road,1.0,car,1.0,1.0,1.0,72.5,82.0,0.0,0.0,1.0,0.0,1.0,10.0,24.1,29.0,High,1.0,,
121,police,Fatal motorcycle accident,,24/01/2025,23/01/2025,"A 36-year-old Italian man, residing in Birkirkara, lost his life late last night in a traffic accident in Msida.The accident happened at around 2015hrs in Mikiel Anton Vassalli Street.From initial investigations it appears that the man was riding a Honda motorcycle and while he was in the tunnel, he lost control, crashed into the wall and fell.The victim was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Philip Galea Farrugia LL. D was informed of the case and appointed an inquiry.Police investigations are still ongoing.",{},Thursday,evening,2015,0,weekday,Msida,Mikiel Anton Vassalli,main road,1.0,motorcycle ,1.0,0.0,1.0,36.0,36.0,0.0,1.0,0.0,0.0,0.0,10.0,18.5,15.0,Fatal,1.0,,
122,police,Traffic accident in Iklin,,15/02/2025,15/02/2025,"Today, at around midnight (0000 hrs), the Police were informed of a traffic accident in Valley Road, Iklin.From preliminary investigations it resulted that a collision occurred between a Toyota Passo driven by a 42-year-old woman from St Paul‚Äôs Bay and a Keeway motorcycle driven by a 39-year-old man from Lija.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance. He was later certified to have sustained grievous injuries.The Police are investigating the case.",{},Saturday,night,0,0,weekend,Iklin,Valley Road,bypass,2.0,car-motorcycle,1.0,1.0,2.0,39.0,42.0,0.0,2.0,0.0,0.0,0.0,10.0,47.3,17.0,High,1.0,,
123,police,Car-motorcycle collision,,20/02/2025,19/02/2025,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq ƒ¶ompesch, Fgura.Preliminary investigations showed that a collision occurred between a Chevrolet Aveo that was being driven by a 32-year-old Albanian man from Fgura and a Kawazaki ZR750 motorcycle that was being driven by a 45-year-old Italian man from Marsascala.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",{},Wednesday,evening,1800,1,weekday,Fgura,Triq Hompesch,main road,2.0,car-motorcycle,2.0,0.0,2.0,32.0,45.0,0.0,2.0,0.0,0.0,0.0,10.0,13.0,18.0,High,1.0,,
124,police,Woman grievously injured in traffic accident,,09/02/2025,09/02/2025,"A 75-year-old woman who lives in Marsascala, at around 0945hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq Sant‚ÄôAntnin, Marsascala.Preliminary investigations showed that the victim was hit by a Mazda Demio, which was being driven by a 54-year-old woman residing in Marsascala aswell.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Sunday,morning,945,0,weekend,Marsascala,Triq Sant Antnin,main road,1.0,car-pedestrian,0.0,2.0,1.0,54.0,75.0,0.0,1.0,0.0,0.0,1.0,10.0,27.8,14.0,High,1.0,MaltaToday,https://www.maltatoday.com.mt/news/court_and_police/133556/women_suffers_grievous_injuries_after_being_run_over_in_marsaskala
125,police,Fatal motorcycle accident,,26/07/2025,26/07/2025,"A 27-year-old man who lives in Paola, lost his life early this morning in a traffic accident in Pembroke.The accident happened at around 0100hrs) in Triq Sant‚ÄôAndrija.Preliminary investigations showed that a collision occurred between a BMW 1 series driven by a 22-year-old man residing in St Paul‚Äôs Bay and a Honda motorcycle driven by the victim.The motorcyclist was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry.Police investigations into this incident are ongoing.",{},Saturday,night,100,0,weekend,Pembroke,Triq Sant Andrija,main road,2.0,car-motorcycle,2.0,0.0,2.0,22.0,27.0,1.0,1.0,0.0,0.0,0.0,10.0,40.7,35.0,Fatal,1.0,,
126,police,Gozo traffic accident,,02/07/2025,01/07/2025,"Yesterday, at around 2115hrs, the Police were informed of a traffic accident in Triq Borƒ° Gƒßarib, Gƒßajnsielem.Preliminary investigations showed that a 22-year-old Albanian, a resident of ≈ªebbuƒ°, Gozo, lost control of his Renault Megane and crashed into a wall.A medical team was called on site and an ambulance took the driver to Gozo General Hospital where he was certified to have sustained grievous injuries.Police investigations are ongoing.",{},Tuesday,night,2115,0,weekday,Ghajnsielem,Triq Borg Gharib,bypass,1.0,car,1.0,0.0,1.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,10.0,14.8,33.0,High,1.0,,
127,police,Collision between a bus and a van in St Julian's,,23/12/2024,23/12/2024,"This morning, at around 1030hrs, the Police were informed about a traffic accident in Triq Mikiel Anton Vassalli, St Julian‚Äôs.Preliminary investigations by the Police showed that there was a collision between an Otokar Vectio bus that was being driven by a 37-year-old man from Marsaskala and a Ford Tourneo Courier van that was being driven by a 39-year-old woman from Naxxar.The bus driver was assisted by a medical team and taken to Mater Dei Hospital by an ambulance for further treatment. He was later certified as suffering from serious injuries. The woman of the other vehicle was not injured.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing.",{},Monday,morning,1030,0,weekday,St Julian's,Triq Mikiel Anton Vassalli,main road,2.0,bus-truck,1.0,1.0,2.0,37.0,39.0,0.0,2.0,0.0,0.0,0.0,10.0,47.3,17.0,High,1.0,,
128,police,Persons injured in separate traffic accidents,,01/02/2025,01/02/2025,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.The second incident happened for about the 1245hrs, in D‚Äô Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",{},Saturday,morning,500,0,weekend,Luqa,Hal Farrug Road,junction,1.0,car,1.0,0.0,1.0,34.0,34.0,0.0,1.0,0.0,0.0,0.0,10.0,42.6,17.0,High,1.0,,
129,police,Persons injured in separate traffic accidents,,01/02/2025,01/02/2025,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.The second incident happened for about the 1245hrs, in D‚Äô Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",{},Saturday,afternoon,1245,0,weekend,Gzira,Triq D'Argens,roundabout,2.0,car-motorcycle,2.0,0.0,2.0,30.0,59.0,0.0,2.0,0.0,0.0,0.0,10.0,42.6,17.0,High,1.0,,
130,police,Traffic accident in Gozo,,17/02/2025,17/02/2025,"Today, at around 1245hrs, the Police were informed of a traffic accident in Giorgio Borg Olivier Street, Victoria, Gozo.The Police went immediately on site and preliminary investigations showed that a Kia Ceed driven by a 21-year-old man residing in Qala, Gozo, overturned after crashing into a wall.A medical team and Civil Protection personnel were called on site to assist, and an ambulance took the man to Gozo General Hospital for treatment. He was later certified with serious injuries.Magistrate Dr Simone Grech LL.D was informed of the case and appointed an inquiry.Police investigations into this incident are ongoing.",{},Monday,afternoon,1245,0,weekday,Victoria,Giorgio Borg Oliver Street,residential,1.0,car,1.0,0.0,1.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,10.0,16.7,17.0,High,1.0,,
